run_id,architecture,log_file,block,position_in_window,sensor_id,sensor_energy_value,sensor_timestamp,message_delay_ms,analytic_window_wait_ms,processing_overhead_ms
B1-flink-1,flink,architecture1_1st_run_logs.log,1,6,1,1181.0,2025-12-08 00:01:06,60557.0,53000,7557.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,7,1,1017.9,2025-12-08 00:01:07,59554.0,52000,7554.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,8,1,998.6,2025-12-08 00:01:08,58552.0,51000,7552.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,9,1,1076.1,2025-12-08 00:01:09,57551.0,50000,7551.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,10,1,1009.1,2025-12-08 00:01:10,56550.0,49000,7550.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,11,1,1058.5,2025-12-08 00:01:11,55547.0,48000,7547.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,12,1,1085.7,2025-12-08 00:01:12,54545.0,47000,7545.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,13,1,1110.5,2025-12-08 00:01:13,53542.0,46000,7542.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,14,1,1138.4,2025-12-08 00:01:14,52541.0,45000,7541.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,15,1,1162.7,2025-12-08 00:01:15,51538.0,44000,7538.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,16,1,1179.2,2025-12-08 00:01:16,50537.0,43000,7537.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,17,1,1200.0,2025-12-08 00:01:17,49535.0,42000,7535.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,18,1,1217.7,2025-12-08 00:01:18,48532.0,41000,7532.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,19,1,1231.6,2025-12-08 00:01:19,47531.0,40000,7531.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,20,1,1241.7,2025-12-08 00:01:20,46529.0,39000,7529.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,21,1,1244.7,2025-12-08 00:01:21,45527.0,38000,7527.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,22,1,1240.0,2025-12-08 00:01:22,44525.0,37000,7525.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,23,1,1247.0,2025-12-08 00:01:23,43523.0,36000,7523.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,24,1,1251.8,2025-12-08 00:01:24,42521.0,35000,7521.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,25,1,1247.7,2025-12-08 00:01:25,41518.0,34000,7518.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,26,1,1245.2,2025-12-08 00:01:26,40516.0,33000,7516.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,27,1,1251.2,2025-12-08 00:01:27,39514.0,32000,7514.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,28,1,1250.8,2025-12-08 00:01:28,38511.0,31000,7511.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,29,1,1253.0,2025-12-08 00:01:29,37509.0,30000,7509.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,30,1,1248.4,2025-12-08 00:01:30,36507.0,29000,7507.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,31,1,1245.4,2025-12-08 00:01:31,35505.0,28000,7505.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,32,1,1245.5,2025-12-08 00:01:32,34503.0,27000,7503.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,33,1,1246.1,2025-12-08 00:01:33,33500.0,26000,7500.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,34,1,1248.1,2025-12-08 00:01:34,32498.0,25000,7498.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,35,1,1249.2,2025-12-08 00:01:35,31496.0,24000,7496.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,36,1,1250.9,2025-12-08 00:01:36,30495.0,23000,7495.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,37,1,1243.0,2025-12-08 00:01:37,29492.0,22000,7492.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,38,1,1243.8,2025-12-08 00:01:38,28490.0,21000,7490.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,39,1,1248.7,2025-12-08 00:01:39,27487.0,20000,7487.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,40,1,1249.9,2025-12-08 00:01:40,26485.0,19000,7485.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,41,1,1249.9,2025-12-08 00:01:41,25483.0,18000,7483.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,42,1,1255.7,2025-12-08 00:01:42,24482.0,17000,7482.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,43,1,1259.2,2025-12-08 00:01:43,23481.0,16000,7481.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,44,1,1257.6,2025-12-08 00:01:44,22479.0,15000,7479.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,45,1,1266.0,2025-12-08 00:01:45,21478.0,14000,7478.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,46,1,1267.9,2025-12-08 00:01:46,20477.0,13000,7477.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,47,1,1266.5,2025-12-08 00:01:47,19475.0,12000,7475.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,48,1,1269.9,2025-12-08 00:01:48,18473.0,11000,7473.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,49,1,1267.9,2025-12-08 00:01:49,17470.0,10000,7470.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,50,1,1269.7,2025-12-08 00:01:50,16467.0,9000,7467.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,51,1,1274.2,2025-12-08 00:01:51,15464.0,8000,7464.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,52,1,1274.1,2025-12-08 00:01:52,14462.0,7000,7462.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,53,1,1271.6,2025-12-08 00:01:53,13461.0,6000,7461.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,54,1,1274.6,2025-12-08 00:01:54,12460.0,5000,7460.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,55,1,1273.1,2025-12-08 00:01:55,11457.0,4000,7457.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,56,1,1273.5,2025-12-08 00:01:56,10455.0,3000,7455.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,57,1,1279.1,2025-12-08 00:01:57,9452.0,2000,7452.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,58,1,1277.1,2025-12-08 00:01:58,8449.0,1000,7449.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,59,1,1297.1,2025-12-08 00:01:59,7448.0,0,7448.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,0,1,1279.1,2025-12-08 00:02:00,66526.0,59000,7526.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,1,1,1272.2,2025-12-08 00:02:01,65524.0,58000,7524.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,2,1,1270.8,2025-12-08 00:02:02,64522.0,57000,7522.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,3,1,1271.8,2025-12-08 00:02:03,63520.0,56000,7520.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,4,1,1271.3,2025-12-08 00:02:04,62519.0,55000,7519.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,5,1,1270.7,2025-12-08 00:02:05,61516.0,54000,7516.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,6,1,1272.9,2025-12-08 00:02:06,60514.0,53000,7514.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,7,1,1276.5,2025-12-08 00:02:07,59511.0,52000,7511.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,8,1,1268.7,2025-12-08 00:02:08,58510.0,51000,7510.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,9,1,1267.4,2025-12-08 00:02:09,57508.0,50000,7508.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,10,1,1270.3,2025-12-08 00:02:10,56506.0,49000,7506.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,11,1,1266.6,2025-12-08 00:02:11,55504.0,48000,7504.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,12,1,1271.5,2025-12-08 00:02:12,54502.0,47000,7502.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,13,1,1267.8,2025-12-08 00:02:13,53500.0,46000,7500.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,14,1,1268.8,2025-12-08 00:02:14,52498.0,45000,7498.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,15,1,1288.2,2025-12-08 00:02:15,51496.0,44000,7496.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,16,1,1267.6,2025-12-08 00:02:16,50493.0,43000,7493.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,17,1,1271.8,2025-12-08 00:02:17,49491.0,42000,7491.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,18,1,1272.5,2025-12-08 00:02:18,48488.0,41000,7488.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,19,1,1277.3,2025-12-08 00:02:19,47486.0,40000,7486.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,20,1,1277.5,2025-12-08 00:02:20,46484.0,39000,7484.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,21,1,1280.7,2025-12-08 00:02:21,45481.0,38000,7481.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,22,1,1274.7,2025-12-08 00:02:22,44478.0,37000,7478.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,23,1,1274.9,2025-12-08 00:02:23,43475.0,36000,7475.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,24,1,1278.8,2025-12-08 00:02:24,42473.0,35000,7473.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,25,1,1271.3,2025-12-08 00:02:25,41470.0,34000,7470.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,26,1,1271.4,2025-12-08 00:02:26,40468.0,33000,7468.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,27,1,1276.4,2025-12-08 00:02:27,39466.0,32000,7466.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,28,1,1275.2,2025-12-08 00:02:28,38463.0,31000,7463.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,29,1,1276.9,2025-12-08 00:02:29,37461.0,30000,7461.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,30,1,1274.4,2025-12-08 00:02:30,36458.0,29000,7458.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,31,1,1268.6,2025-12-08 00:02:31,35456.0,28000,7456.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,32,1,1269.6,2025-12-08 00:02:32,34454.0,27000,7454.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,33,1,1274.0,2025-12-08 00:02:33,33451.0,26000,7451.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,34,1,1270.5,2025-12-08 00:02:34,32450.0,25000,7450.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,35,1,1271.8,2025-12-08 00:02:35,31449.0,24000,7449.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,36,1,1270.9,2025-12-08 00:02:36,30447.0,23000,7447.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,37,1,1269.2,2025-12-08 00:02:37,29444.0,22000,7444.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,38,1,1271.1,2025-12-08 00:02:38,28443.0,21000,7443.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,39,1,1273.3,2025-12-08 00:02:39,27441.0,20000,7441.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,40,1,1272.9,2025-12-08 00:02:40,26439.0,19000,7439.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,41,1,1277.5,2025-12-08 00:02:41,25437.0,18000,7437.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,42,1,1269.7,2025-12-08 00:02:42,24435.0,17000,7435.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,43,1,1266.1,2025-12-08 00:02:43,23433.0,16000,7433.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,44,1,1271.0,2025-12-08 00:02:44,22431.0,15000,7431.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,45,1,1269.3,2025-12-08 00:02:45,21429.0,14000,7429.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,46,1,1272.8,2025-12-08 00:02:46,20426.0,13000,7426.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,47,1,1274.3,2025-12-08 00:02:47,19423.0,12000,7423.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,48,1,1269.5,2025-12-08 00:02:48,18421.0,11000,7421.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,49,1,1268.6,2025-12-08 00:02:49,17420.0,10000,7420.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,50,1,1269.2,2025-12-08 00:02:50,16417.0,9000,7417.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,51,1,1272.9,2025-12-08 00:02:51,15415.0,8000,7415.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,52,1,1269.6,2025-12-08 00:02:52,14412.0,7000,7412.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,53,1,1269.1,2025-12-08 00:02:53,13410.0,6000,7410.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,54,1,1265.1,2025-12-08 00:02:54,12408.0,5000,7408.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,55,1,1269.0,2025-12-08 00:02:55,11405.0,4000,7405.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,56,1,1269.0,2025-12-08 00:02:56,10403.0,3000,7403.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,57,1,1273.6,2025-12-08 00:02:57,9401.0,2000,7401.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,58,1,1269.1,2025-12-08 00:02:58,8398.0,1000,7398.0
B1-flink-1,flink,architecture1_1st_run_logs.log,2,59,1,1277.4,2025-12-08 00:02:59,7396.0,0,7396.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,0,1,1271.2,2025-12-08 00:03:00,66250.0,59000,7250.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,1,1,1273.9,2025-12-08 00:03:01,65247.0,58000,7247.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,2,1,1271.9,2025-12-08 00:03:02,64245.0,57000,7245.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,3,1,1269.8,2025-12-08 00:03:03,63243.0,56000,7243.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,4,1,1285.8,2025-12-08 00:03:04,62241.0,55000,7241.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,5,1,1270.1,2025-12-08 00:03:05,61239.0,54000,7239.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,6,1,1291.2,2025-12-08 00:03:06,60237.0,53000,7237.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,7,1,1266.4,2025-12-08 00:03:07,59235.0,52000,7235.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,8,1,1264.3,2025-12-08 00:03:08,58234.0,51000,7234.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,9,1,1275.5,2025-12-08 00:03:09,57232.0,50000,7232.0
B1-flink-1,flink,architecture1_1st_run_logs.log,3,10,1,1272.3,2025-12-08 00:03:10,56231.0,49000,7231.0
