sensor_id,aprt_power,sensor_timestamp
17,1504.2,2025-12-08 00:04:03+00
17,1506.2,2025-12-08 00:04:04+00
17,1508.6,2025-12-08 00:04:05+00
17,1516,2025-12-08 00:04:06+00
17,1505.2,2025-12-08 00:04:07+00
17,1511.8,2025-12-08 00:04:08+00
17,1509.9,2025-12-08 00:04:09+00
17,1508.8,2025-12-08 00:04:10+00
17,1506.1,2025-12-08 00:04:11+00
17,1512.9,2025-12-08 00:04:12+00
17,1499.4,2025-12-08 00:04:13+00
17,1497.2,2025-12-08 00:04:14+00
17,1507.3,2025-12-08 00:04:15+00
17,1513,2025-12-08 00:04:16+00
17,1504.5,2025-12-08 00:04:17+00
17,1503.1,2025-12-08 00:04:18+00
17,1509.6,2025-12-08 00:04:19+00
17,1511.1,2025-12-08 00:04:20+00
17,1510.6,2025-12-08 00:04:21+00
17,1513.8,2025-12-08 00:04:22+00
17,1498.7,2025-12-08 00:04:23+00
17,1501.8,2025-12-08 00:04:24+00
17,1511.8,2025-12-08 00:04:25+00
17,1505.7,2025-12-08 00:04:26+00
17,1510.4,2025-12-08 00:04:27+00
17,1511.4,2025-12-08 00:04:28+00
17,1520.5,2025-12-08 00:04:29+00
17,1504.8,2025-12-08 00:04:30+00
17,1500.1,2025-12-08 00:04:31+00
17,1515,2025-12-08 00:04:32+00
17,1501.3,2025-12-08 00:04:33+00
17,1501.4,2025-12-08 00:04:34+00
17,1495.8,2025-12-08 00:04:35+00
17,1518.1,2025-12-08 00:04:36+00
17,1584.4,2025-12-08 00:04:37+00
17,1582.6,2025-12-08 00:04:38+00
17,1582.7,2025-12-08 00:04:39+00
17,1584.5,2025-12-08 00:04:40+00
17,1590.4,2025-12-08 00:04:41+00
17,1587.1,2025-12-08 00:04:42+00
17,1586.4,2025-12-08 00:04:43+00
17,1588.2,2025-12-08 00:04:44+00
17,1590.5,2025-12-08 00:04:45+00
17,1590,2025-12-08 00:04:46+00
17,1588.2,2025-12-08 00:04:47+00
17,1590.8,2025-12-08 00:04:48+00
17,1587.6,2025-12-08 00:04:49+00
17,1594.2,2025-12-08 00:04:50+00
17,1594.3,2025-12-08 00:04:51+00
17,1593,2025-12-08 00:04:52+00
17,1585.6,2025-12-08 00:04:53+00
17,1581.6,2025-12-08 00:04:54+00
17,1580.9,2025-12-08 00:04:55+00
17,1581.2,2025-12-08 00:04:56+00
17,1588.6,2025-12-08 00:04:57+00
17,1585.8,2025-12-08 00:04:58+00
17,1583,2025-12-08 00:04:59+00
17,1584.6,2025-12-08 00:05:00+00
17,1588.3,2025-12-08 00:05:01+00
17,1583.2,2025-12-08 00:05:02+00
17,1585.7,2025-12-08 00:05:03+00
17,1586,2025-12-08 00:05:04+00
17,1584.3,2025-12-08 00:05:05+00
17,1590.3,2025-12-08 00:05:06+00
17,1598,2025-12-08 00:05:07+00
17,1582.4,2025-12-08 00:05:08+00
17,1591.6,2025-12-08 00:05:09+00
17,1602.7,2025-12-08 00:05:10+00
17,1583,2025-12-08 00:05:11+00
17,1583.7,2025-12-08 00:05:12+00
17,1583.7,2025-12-08 00:05:13+00
17,1584.6,2025-12-08 00:05:14+00
17,1589.2,2025-12-08 00:05:15+00
17,1591.9,2025-12-08 00:05:16+00
17,1591.4,2025-12-08 00:05:17+00
17,1586.5,2025-12-08 00:05:18+00
17,1593.6,2025-12-08 00:05:19+00
17,1593.6,2025-12-08 00:05:20+00
17,1594.4,2025-12-08 00:05:21+00
17,1591.4,2025-12-08 00:05:22+00
17,1587.6,2025-12-08 00:05:23+00
17,1588.5,2025-12-08 00:05:24+00
17,1586.9,2025-12-08 00:05:25+00
17,1651.5,2025-12-08 00:05:26+00
17,1706.7,2025-12-08 00:05:27+00
17,1726.5,2025-12-08 00:05:28+00
17,1715.5,2025-12-08 00:05:29+00
17,1723.5,2025-12-08 00:05:30+00
17,1743.8,2025-12-08 00:05:31+00
17,1726.6,2025-12-08 00:05:32+00
17,1740.6,2025-12-08 00:05:33+00
17,1720.6,2025-12-08 00:05:34+00
17,1723.7,2025-12-08 00:05:35+00
17,1724.3,2025-12-08 00:05:36+00
17,1724.2,2025-12-08 00:05:37+00
17,1719.4,2025-12-08 00:05:38+00
17,1722.6,2025-12-08 00:05:39+00
17,1725.4,2025-12-08 00:05:40+00
17,1723.5,2025-12-08 00:05:41+00
17,1723.1,2025-12-08 00:05:42+00
17,1725.9,2025-12-08 00:05:43+00
17,1721,2025-12-08 00:05:44+00
17,1723.1,2025-12-08 00:05:45+00
17,1729.1,2025-12-08 00:05:46+00
17,1718,2025-12-08 00:05:47+00
17,1724.9,2025-12-08 00:05:48+00
17,1724.2,2025-12-08 00:05:49+00
17,1726,2025-12-08 00:05:50+00
17,1723.9,2025-12-08 00:05:51+00
17,1723.9,2025-12-08 00:05:52+00
17,1721,2025-12-08 00:05:53+00
17,1726.9,2025-12-08 00:05:54+00
17,1721.5,2025-12-08 00:05:55+00
17,1721.9,2025-12-08 00:05:56+00
17,1727.3,2025-12-08 00:05:57+00
17,1724.5,2025-12-08 00:05:58+00
17,1721.2,2025-12-08 00:05:59+00
17,1730.2,2025-12-08 00:06:00+00
17,1727.2,2025-12-08 00:06:01+00
17,1730.4,2025-12-08 00:06:02+00
17,1726.2,2025-12-08 00:06:03+00
17,1722.8,2025-12-08 00:06:04+00
17,1725.2,2025-12-08 00:06:05+00
17,1725.8,2025-12-08 00:06:06+00
17,1727,2025-12-08 00:06:07+00
17,1722.4,2025-12-08 00:06:08+00
17,1732.2,2025-12-08 00:06:09+00
17,1734.9,2025-12-08 00:06:10+00
17,1724,2025-12-08 00:06:11+00
17,1742,2025-12-08 00:06:12+00
17,1727.9,2025-12-08 00:06:13+00
17,1724.6,2025-12-08 00:06:14+00
17,1726.2,2025-12-08 00:06:15+00
17,1721.5,2025-12-08 00:06:16+00
17,1722.6,2025-12-08 00:06:17+00
17,1741.1,2025-12-08 00:06:18+00
17,1732.9,2025-12-08 00:06:19+00
17,1728.4,2025-12-08 00:06:20+00
17,1725.5,2025-12-08 00:06:21+00
17,1727.1,2025-12-08 00:06:22+00
17,1727.5,2025-12-08 00:06:23+00
17,1726.6,2025-12-08 00:06:24+00
17,1725,2025-12-08 00:06:25+00
17,1734.5,2025-12-08 00:06:26+00
17,1724.9,2025-12-08 00:06:27+00
17,1728,2025-12-08 00:06:28+00
17,1722.2,2025-12-08 00:06:29+00
17,1725.4,2025-12-08 00:06:30+00
17,1725.3,2025-12-08 00:06:31+00
17,1735.6,2025-12-08 00:06:32+00
17,1727.7,2025-12-08 00:06:33+00
17,1725.2,2025-12-08 00:06:34+00
17,1723.2,2025-12-08 00:06:35+00
17,1723.5,2025-12-08 00:06:36+00
17,1724.8,2025-12-08 00:06:37+00
17,1725.9,2025-12-08 00:06:38+00
17,1728.8,2025-12-08 00:06:39+00
17,1721.1,2025-12-08 00:06:40+00
17,1725.8,2025-12-08 00:06:41+00
17,1728.3,2025-12-08 00:06:42+00
17,1726.1,2025-12-08 00:06:43+00
17,1729.5,2025-12-08 00:06:44+00
17,1725.4,2025-12-08 00:06:45+00
17,1725,2025-12-08 00:06:46+00
17,1722.3,2025-12-08 00:06:47+00
17,1727.7,2025-12-08 00:06:48+00
17,1728.8,2025-12-08 00:06:49+00
17,1727,2025-12-08 00:06:50+00
17,1728.6,2025-12-08 00:06:51+00
17,1723.6,2025-12-08 00:06:52+00
17,1724.8,2025-12-08 00:06:53+00
17,1722.2,2025-12-08 00:06:54+00
17,1726.4,2025-12-08 00:06:55+00
17,1733.6,2025-12-08 00:06:56+00
