====================================================================================================
A1 SCALING EXPERIMENT - ARCHITECTURE WITH APACHE FLINK - RESOURCE METRICS
Generated: 2026-05-16T06:59:56Z
Source: Grafana CSV exports (UTF-16 TSV) of CPU / memory per container + totals.
        Sampling interval: 15 s (per Grafana dashboard configuration).
Phase ('active_devices') = number of devices whose coordinator had subscribed at this sample's wall-clock.
Times in Athens local (+02:00); the Grafana CSV uses local timestamps.
====================================================================================================

Containers measured  : pulsar, jobmanager, taskmanager, mosquittoo, postgres, rustfs_container
Sample count         : 249
Time range           : 2026-05-15 18:58:15 -> 2026-05-15 20:00:15

====================================================================================================
1. PER-PHASE x PER-CONTAINER  (mean / p95 / max CPU in cores, mean / max memory in MiB)
====================================================================================================
  #dev container                 n    cpu_mean   cpu_p95   cpu_max    mem_mean_MB  mem_max_MB
    12 jobmanager               13      0.0572    0.0922    0.0942         1893.1      1922.0
    12 taskmanager              13      0.4307    0.5906    0.5960         2274.7      2319.3
    12 mosquittoo               13      0.0023    0.0025    0.0025           18.2        19.0
    12 postgres                 13      0.0075    0.0087    0.0089          104.3       107.0
    12 rustfs_container         13      0.2421    0.3304    0.3340          212.3       223.3
    12 _TOTAL_(containers)      13      1.4998    2.9140    3.0700         7142.0      7806.1

    13 pulsar                   13      0.8010    2.3220    2.3400         2599.3      3468.2
    13 jobmanager               13      0.0662    0.0945    0.0956         1942.6      2029.4
    13 taskmanager              13      0.4593    0.6498    0.6540         2413.4      2587.7
    13 mosquittoo               13      0.0025    0.0027    0.0027           17.4        18.1
    13 postgres                 13      0.0082    0.0097    0.0100           93.5        99.6
    13 rustfs_container         13      0.2325    0.3104    0.3140          216.3       226.5
    13 _TOTAL_(containers)      13      1.5689    3.1160    3.1400         7281.6      8117.5

    14 pulsar                   12      0.6689    2.1225    2.3700         2433.8      3146.1
    14 jobmanager               12      0.0589    0.0899    0.0900         1982.8      2029.4
    14 taskmanager              12      0.4489    0.5490    0.5710         2439.2      2469.6
    14 mosquittoo               12      0.0026    0.0029    0.0029           17.6        18.1
    14 postgres                 12      0.0089    0.0113    0.0113           83.7        86.3
