active_devices,container,n_samples,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes
18,jobmanager,13,0.0652,0.1224,0.123,1988900240,2061584302
18,taskmanager,13,0.5756,0.7394,0.743,1751025128,2007897211
18,mosquittoo,13,0.0029,0.0031,0.0032,13666172,17930650
18,postgres,13,0.0077,0.0089,0.0089,75828177,80950067
18,rustfs_container,13,0.202,0.2544,0.258,130588042,143654912
18,_TOTAL_(containers),13,1.5612,3.042,3.18,4750894594,5400921375
19,pulsar,14,0.5494,1.986,2.22,737023099,1385126953
19,jobmanager,14,0.0661,0.0987,0.0993,1921230907,2007897211
19,taskmanager,14,0.5519,0.6886,0.699,1661231993,1760936591
19,mosquittoo,14,0.003,0.0032,0.0033,3904448,4592763
19,postgres,14,0.0075,0.009,0.0091,80021328,98041856
19,rustfs_container,14,0.2221,0.2688,0.274,86844562,116391936
19,_TOTAL_(containers),14,1.4007,2.916,3.15,4490541700,5121748500
